,Sample,Study,ERBB2,EGFR
12068,TCGA-V4-A9EJ-01,TCGA,11.65,6.597
12069,TCGA-44-6777-11,TCGA,12.58,11.98
12070,TCGA-2Y-A9GU-01,TCGA,9.703,14.43
12071,TARGET-20-PANPTM-09,TARGET,5.955,0.0
12072,TCGA-DK-AA6P-01,TCGA,14.3,11.29
12073,GTEX-WYBS-0926-SM-3NM94,GTEX,13.36,12.75
12074,TCGA-XF-A9SM-01,TCGA,12.25,12.51
12075,GTEX-PLZ4-0006-SM-2S1NY,GTEX,9.413,7.663
12076,TARGET-10-PARJZZ-04,TARGET,8.008,2.82
12077,TCGA-2J-AABO-01,TCGA,13.17,11.52
12078,TCGA-C5-A2LT-01,TCGA,11.3,13.88
12079,TCGA-OR-A5K5-01,TCGA,7.872,10.05
12080,TCGA-CN-A497-01,TCGA,12.9,12.41
12081,TCGA-98-8022-01,TCGA,13.67,12.27
12082,GTEX-S32W-2326-SM-2XCAW,GTEX,10.38,11.8
12083,TCGA-EB-A85J-01,TCGA,10.14,7.276
12084,TCGA-43-A56U-01,TCGA,11.97,12.47
12085,TCGA-EM-A2P1-01,TCGA,12.82,11.86
12086,TCGA-B1-A47N-01,TCGA,13.71,11.12
12087,GTEX-13N1W-3126-SM-5IFHB,GTEX,10.2,10.07
12088,TCGA-EM-A2P1-06,TCGA,12.9,12.06
12089,TCGA-G9-6361-01,TCGA,12.62,11.11
12090,TCGA-D7-A748-01,TCGA,11.95,11.22
12091,TCGA-H2-A3RH-01,TCGA,13.65,12.18
12092,TCGA-HT-A4DV-01,TCGA,9.838,11.72
12093,TCGA-DU-6396-01,TCGA,10.16,12.55
12094,TCGA-FD-A6TA-01,TCGA,15.77,10.28
12095,GTEX-145MO-2126-SM-5Q5CZ,GTEX,11.84,11.77
12096,TCGA-19-4065-02,TCGA,11.06,9.956
12097,TCGA-19-4065-01,TCGA,10.09,11.28
12098,TCGA-DI-A2QT-01,TCGA,15.96,7.668
12099,GTEX-11OF3-1826-SM-5987N,GTEX,11.23,9.675
12100,TCGA-67-6216-01,TCGA,13.59,12.49
12101,TCGA-4X-A9FD-01,TCGA,8.16,13.92
12102,GTEX-1313W-0126-SM-5LZUN,GTEX,13.8,13.56
12103,GTEX-WFG8-0126-SM-5CHTB,GTEX,0.0,0.0
12104,TCGA-E7-A7PW-01,TCGA,17.63,16.35
12105,TCGA-F5-6861-01,TCGA,12.95,10.71
12106,TARGET-20-PASPGA-09,TARGET,6.47,0.0
12107,GTEX-131XF-0126-SM-5DUVF,GTEX,9.002,11.69
12108,TCGA-A8-A091-01,TCGA,13.96,8.922
12109,TCGA-EB-A5SF-01,TCGA,13.56,10.22
12110,TCGA-EB-A82C-01,TCGA,11.41,7.694
12111,TCGA-CV-A460-01,TCGA,13.15,13.56
12112,TCGA-D8-A1XT-01,TCGA,17.97,13.04
12113,TCGA-S5-A6DX-01,TCGA,13.63,10.37
12114,TCGA-AB-2973-03,TCGA,6.919,4.669
12115,TCGA-FG-7643-01,TCGA,10.06,13.1
12116,GTEX-Y3I4-0226-SM-4TT27,GTEX,12.75,11.64
12117,TCGA-F5-6814-01,TCGA,12.07,11.17
12118,GTEX-Y3I4-1126-SM-4TT7Y,GTEX,10.92,12.3
12119,TCGA-EL-A3CT-01,TCGA,13.27,12.13
12120,GTEX-111CU-0626-SM-5EGHL,GTEX,11.67,12.46
12121,TCGA-PL-A8LY-01,TCGA,13.71,10.96
12122,TCGA-G2-AA3B-01,TCGA,14.81,8.712
12123,GTEX-13NZA-2526-SM-5IJFX,GTEX,11.46,9.911
12124,TCGA-CH-5769-01,TCGA,12.38,12.5
12125,GTEX-OOBJ-2626-SM-2I3F6,GTEX,13.09,11.68
12126,TCGA-DJ-A3VA-01,TCGA,13.61,12.77
12127,GTEX-S95S-1426-SM-2XCDM,GTEX,9.952,10.66
12128,TCGA-B8-5546-01,TCGA,13.42,11.86
12129,TCGA-EI-6511-01,TCGA,12.36,11.39
